libdhash	0.5.0-53.el9.x86_64
libdnf	0.69.0-17.el9_7.rocky.0.1.x86_64
libeconf	0.4.1-4.el9.x86_64
libedit	3.1-38.20210216cvs.el9.x86_64
libestr	0.1.11-4.el9.x86_64
libevent	2.1.12-8.el9_4.x86_64
libfastjson	0.99.9-5.el9.x86_64
libfdisk	2.37.4-21.el9_7.x86_64
libffi	3.4.2-8.el9.x86_64
libfido2	1.13.0-2.el9.x86_64
libgcc	11.5.0-11.el9.x86_64
libgcrypt	1.10.0-11.el9.x86_64
libgomp	11.5.0-11.el9.x86_64
libgpg-error	1.42-5.el9.x86_64
libibverbs	57.0-2.el9.x86_64
libidn2	2.3.0-7.el9.x86_64
libini_config	1.3.1-53.el9.x86_64
libkcapi	1.4.0-2.el9.x86_64
libkcapi-hmaccalc	1.4.0-2.el9.x86_64
libksba	1.5.1-7.el9.x86_64
libldb	4.22.4-18.el9_7.x86_64
libmaxminddb	1.5.2-4.el9.x86_64
libmnl	1.0.4-16.el9_4.x86_64
libmodulemd	2.13.0-2.el9.x86_64
libmount	2.37.4-21.el9_7.x86_64
libmpc	1.2.1-4.el9.x86_64
libndp	1.9-1.el9.x86_64
libnetfilter_conntrack	1.0.9-1.el9.x86_64
libnfnetlink	1.0.1-23.el9_5.x86_64
libnftnl	1.2.6-4.el9_4.x86_64
libnghttp2	1.43.0-6.el9.x86_64
libnl3	3.11.0-1.el9.x86_64
libnl3-cli	3.11.0-1.el9.x86_64
libnvme	1.13-1.el9.x86_64
libpath_utils	0.2.1-53.el9.x86_64
libpcap	1.10.0-4.el9.x86_64
libpipeline	1.5.3-4.el9.x86_64
libpkgconf	1.7.3-10.el9.x86_64
libpng	1.6.37-12.el9_7.2.x86_64
libpsl	0.21.1-5.el9.x86_64
libpwquality	1.4.4-8.el9.x86_64
libref_array	0.1.5-53.el9.x86_64
librepo	1.14.5-3.el9.x86_64
libreport-filesystem	2.15.2-6.el9.rocky.0.2.noarch
libseccomp	2.5.2-2.el9.x86_64
libselinux	3.6-3.el9.x86_64
libselinux-utils	3.6-3.el9.x86_64
libsemanage	3.6-5.el9_6.x86_64
libsepol	3.6-3.el9.x86_64
libsigsegv	2.13-4.el9.x86_64
libsmartcols	2.37.4-21.el9_7.x86_64
libsolv	0.7.24-3.el9.x86_64
libss	1.46.5-8.el9.x86_64
libssh	0.10.4-17.el9_7.x86_64
libssh-config	0.10.4-17.el9_7.noarch
libsss_certmap	2.9.7-4.el9_7.1.x86_64
libsss_idmap	2.9.7-4.el9_7.1.x86_64
libsss_nss_idmap	2.9.7-4.el9_7.1.x86_64
libsss_sudo	2.9.7-4.el9_7.1.x86_64
libstdc++	11.5.0-11.el9.x86_64
libstdc++-devel	11.5.0-11.el9.x86_64
libsysfs	2.1.1-11.el9.x86_64
libtalloc	2.4.3-1.el9.x86_64
libtasn1	4.16.0-9.el9.x86_64
libtdb	1.4.13-1.el9.x86_64
libteam	1.31-16.el9_1.x86_64
libtevent	0.16.2-1.el9.x86_64
libtirpc	1.3.3-9.el9.x86_64
libtool	2.4.6-46.el9.x86_64
libtool-ltdl	2.4.6-46.el9.x86_64
libtraceevent	1.8.4-2.el9.x86_64
libunistring	0.9.10-15.el9.x86_64
liburing	2.5-1.el9.x86_64
libuser	0.63-17.el9.x86_64
libutempter	1.2.1-6.el9.x86_64
libuuid	2.37.4-21.el9_7.x86_64
libuv	1.42.0-2.el9_4.x86_64
libverto	0.3.2-3.el9.x86_64
libxcrypt	4.4.18-3.el9.x86_64
libxcrypt-compat	4.4.18-3.el9.x86_64
libxcrypt-devel	4.4.18-3.el9.x86_64
libxml2	2.9.13-14.el9_7.x86_64
libyaml	0.2.5-7.el9.x86_64
libzstd	1.5.5-1.el9.x86_64
libzstd-devel	1.5.5-1.el9.x86_64
linux-firmware	20260130-155.3.el9_7.noarch
linux-firmware-whence	20260130-155.3.el9_7.noarch
lmdb-libs	0.9.29-3.el9.x86_64
lm_sensors-libs	3.6.0-10.el9.x86_64
logrotate	3.18.0-12.el9.x86_64
